fixture,seed,samples_per_seed,channel,image_bias,image_rmse,expected_mc_rmse,image_mean_standard_error,quadrature_rmse,quadrature_mean_absolute,maximum_absolute
detail-17,4294967313,8192,T,8.9577625590930553e-06,0.00092517088132685048,0.00077132117020964623,6.4276764184137186e-05,3.5228777155905576e-05,5.9822810262231812e-06,0.0065063402282131699
detail-17,combined-four-seeds,8192,RGB_average,-0.00011690882994376385,0.00055832138481540119,0.00048314143331534744,4.0261786109612287e-05,2.9904273425839479e-05,5.2301276797726391e-06,0.0032014929425520089
detail-17,combined-four-seeds,1024,RGB_average,-7.8863995846833023e-05,0.0013185237003326554,0.0013702557985031372,0.00011418798320859478,2.9904273425839479e-05,5.2301276797726391e-06,0.011884130616801492
detail-17,combined-four-seeds,8192,T,4.6382799160642661e-05,0.00051362809777052206,0.00038467870770606688,3.2056558975505571e-05,3.5228777155905576e-05,5.9822810262231812e-06,0.0046553592197758897
detail-17,combined-four-seeds,1024,T,-8.6548175262936446e-05,0.0012647613618863886,0.0010909266886946934,9.0910557391224439e-05,3.5228777155905576e-05,5.9822810262231812e-06,0.0085332696721184265
low-sun,17,1024,RGB_average,0.00024630193029967035,0.002071372323528233,0.0024502885402858995,0.00020419071169049162,1.0214259387134412e-06,3.0030225168688429e-07,0.017663696687277408
low-sun,17,1024,T,-0.00047277732105481914,0.0051751337998651639,0.0044888710470719316,0.0003740725872559943,2.4942482621690146e-06,7.7778333782519168e-07,0.028767172310818268
low-sun,17,8192,RGB_average,-3.5541135820599197e-05,0.00084439100915376542,0.00086233738894861433,7.186144907905119e-05,1.0214259387134412e-06,3.0030225168688429e-07,0.0041477139136585628
low-sun,17,8192,T,-0.00029434620016113893,0.001530341658187615,0.0015917299443215897,0.00013264416202679914,2.4942482621690146e-06,7.7778333782519168e-07,0.0082382039895407266
low-sun,42,1024,RGB_average,5.4229524261107391e-05,0.0014068632056519112,0.002446449092615083,0.00020387075771792357,1.0214259387134412e-06,3.0030225168688429e-07,0.01093860372247385
low-sun,42,1024,T,-0.00046423827601116212,0.0038720117793664033,0.0045136778951834393,0.00037613982459861991,2.4942482621690146e-06,7.7778333782519168e-07,0.028626621215899928
low-sun,42,8192,RGB_average,2.6228364392212229e-05,0.00072749502626706132,0.00086380161725048464,7.1983468104207054e-05,1.0214259387134412e-06,3.0030225168688429e-07,0.004906964956506582
low-sun,42,8192,T,-0.00017766554791394113,0.0017337662329496017,0.0015933004117715669,0.00013277503431429724,2.4942482621690146e-06,7.7778333782519168e-07,0.01580522382702404
low-sun,99991,1024,RGB_average,0.00010444487956482209,0.002586883874134885,0.0024485802022766803,0.00020404835018972335,1.0214259387134412e-06,3.0030225168688429e-07,0.014993647361693535
low-sun,99991,1024,T,-0.00049136463112471065,0.0031946452283257948,0.004499419034358714,0.0003749515861965595,2.4942482621690146e-06,7.7778333782519168e-07,0.019841750380174106
low-sun,99991,8192,RGB_average,-3.4049050102190333e-05,0.00072197434171548155,0.00086339761235825797,7.1949801029854831e-05,1.0214259387134412e-06,3.0030225168688429e-07,0.0046643983100106423
low-sun,99991,8192,T,0.00011702128747735013,0.0017336710927701592,0.0015922147945007018,0.0001326845662083918,2.4942482621690146e-06,7.7778333782519168e-07,0.01313011397359376
low-sun,4294967313,1024,RGB_average,-0.00034524419450667105,0.0020768330032280612,0.0024301602753765716,0.00020251335628138097,1.0214259387134412e-06,3.0030225168688429e-07,0.014521815829316553
low-sun,4294967313,1024,T,0.00060408028556337221,0.0052191290395833152,0.0045099100349739046,0.00037582583624782537,2.4942482621690146e-06,7.7778333782519168e-07,0.03358296779860076
low-sun,4294967313,8192,RGB_average,3.2577156118194397e-06,0.00070658945878950788,0.000863261026380063,7.193841886500525e-05,1.0214259387134412e-06,3.0030225168688429e-07,0.0051265255867994075
low-sun,4294967313,8192,T,0.00013563057574175597,0.001990198305050918,0.0015933332007100607,0.00013277776672583838,2.4942482621690146e-06,7.7778333782519168e-07,0.012229940467191447
